20.01.2009;Barack Obama becomes the 44th President, Joe Biden becomes Vice President. Obama is the first African-American to hold the office.
27.02.2009;The first of a series of Tea Party protests are conducted across the United States, focusing on smaller government, fiscal responsibility, individual freedoms and conservative views of the Constitution.
17.02.2009;U.S. President Barack Obama obtains Congressional approval for the $787 billion stimulus package, the largest since President Dwight D. Eisenhower.
25.06.2009;Pop icon Michael Jackson dies, creating the largest public mourning for an entertainer since the death of Elvis Presley.
05.11.2009;Nidal Malik Hasan kills 12 servicemen and injures 31 in the 2009 Fort Hood shooting.
06.10.2010;Instagram founded
20.04.2010;The Deepwater Horizon oil rig in the Gulf of Mexico explodes, spilling millions of gallons of oil into the sea. The spill becomes the worst oil spill in American history.
02.11.2010;In the 2010 Midterm elections, the Republicans retake the House of Representatives as the Democrats lose 63 seats.
08.01.2011;U.S. Representative Gabrielle Giffords is severely wounded in an assassination attempt when a gunman went on a shooting spree, killing federal judge John Roll and five other people, and wounding at least 13 others, at an event Giffords was hosting in suburban Tucson, Arizona
25.04.2011;A series of tornadoes cause heavy damage in the South, Alabama being the hardest hit. 324 people are killed in the deadliest American natural disaster since Hurricane Katrina.
02.05.2011;Osama bin Laden, leader of al-Qaeda and mastermind of the September 11 attacks, is killed in Abbottabad, Pakistan, by U.S. Navy SEALs.
04.05.2011;Flooding devastates the Mississippi River valley causing $2 to $4 billion in damage.
22.05.2011;A tornado devastates Joplin, Missouri, killing 158 and injuring over 1,000, making it the deadliest single U.S. tornado since the advent of modern weather forecasting
05.07.2011;Casey Marie Anthony is acquitted of all charges related to her death of her daughter, Caylee  she was convicted of four counts of providing false information to a law enforcement officer. She was released a week later because of credit for time served.
20.07.2012;A gunman kills 12 and injures 70 at a movie theater in Aurora, Colorado.
06.11.2012;U.S. presidential election, 2012: Barack Obama reelected president, Joe Biden reelected vice president.
14.12.2012;A gunman kills 26, including 20 children, at the Sandy Hook Elementary School in Newtown, Connecticut.
22.10.2012;Hurricane Sandy strikes the Eastern Seaboard.
20.01.2013;President Obama and Vice President Biden begin their second terms.
03.02.2013;Christopher Dorner murders three people in Southern California, starting the largest manhunt in Los Angeles history. His spree ends in Big Bear Lake, California where he barricades himself in a cabin, kills a second officer, before committing suicide.
01.06.2013;Edward Snowden leaks highly classified documents from the National Security Agency.
15.04.2013;Terrorists attack the Boston Marathon by detonating two bombs at the finishing line of the race, killing three and injuring 283 runners and spectators. Suspects Tamerlan and Dzhokhar Tsarnaev then led Boston police on a high-speed chase, killing one officer at the Massachusetts Institute of Technology. Tamerlan was killed in a shootout with police and Dzhokhar was detained the day after.
20.05.2013;A tornado devastates suburbs near Oklahoma City, killing 24.
11.06.2013;The most destructive wildfire in Colorado history burns nearly 16,000 acres and kills two people.
26.06.2013;The Supreme Court strikes down the Defense of Marriage Act, which banned the federal recognition of same-sex marriages and refused to recognize the legal standing of proponents of Proposition 8, which resulted in the re-legalization of same-sex marriage in California.
13.06.2013;Black Lives Matter emerges as a political movement, protesting against what it sees as widespread racial profiling, police brutality, and racial inequality in the United States criminal justice system.
09.08.2014;A grand jury decides not to charge Officer Darren Wilson in the shooting death of Michael Brown inciting protests and riots against racism and police brutality in the St. Louis area.
04.11.2014;The Republicans win the Senate in the Midterm elections.
08.04.2015;Dzhokhar Tsarnaev is convicted and sentenced to death for committing the Boston Marathon bombing.
17.06.2015;Dylann Roof kills 9 people during a Bible study at the Emanuel African Methodist Episcopal Church in Charleston, South Carolina.
26.06.2015;Same-sex marriage is legalized in all 50 US states.
02.12.2015;Rizwan Farook and Tashfeen Malik carried out an attack at the Inland Regional Center in San Bernardino, California, killing 14 and seriously injuring 22 others.
12.06.2016;Omar Mateen kills 49 people and injures 58 members of the LGBT community at the Pulse nightclub
08.11.2016;U.S. presidential election, 2016: Donald Trump elected president, Mike Pence elected vice president
02.12.2016;Dozens killed in Oakland Warehouse Fire
08.12.2016;John Glenn dies.
06.01.2017;Fort Lauderdale airport shooting.
20.01.2017;Donald Trump becomes the 45th President, Mike Pence becomes Vice President. Trump is the first person without prior military or government service to hold the office.
09.05.2017;Trump fires FBI director James Comey, precipitating the Mueller investigation.
01.04.2017;The United States drops missiles and bombs on Syria.
11.08.2017;A white supremacist rally in Charlottesville, Virginia leads to three deaths and to the discussion about racism in modern American society. The term alt-right receives renewed popular consciousness.
17.08.2017;Hurricane Harvey makes landfall in the United States, flooding broad swaths of Texas and Louisiana and causing tens of billions of dollars of damage, making it one of the costliest natural disasters in U.S. history.
30.08.2017;Hurricane Irma makes landfall in Florida and causes tens of billions of dollars of damage. Irma also wrecks the Caribbean Islands.
16.09.2017;Hurricane Maria made landfall on Puerto Rico as a Category 5 hurricane, killing hundreds and knocking out the island's power.
01.10.2017;A gunman opens fire at a Las Vegas Strip concert, killing 58 people and injuring 546. This was the deadliest mass shooting in modern U.S. history.
05.11.2017;Gunman Devin Patrick Kelley killed 26 people and wounded 20 others before killing himself. This was the deadliest mass shooting in Texas history and the deadliest shooting in an American place of worship in modern history.
25.05.2018;Film producer Harvey Weinstein is accused of sexual harassment in a New York Times expose, marking the beginning of the Me Too movement.
14.02.2018;A gunman kills 17 people and injures 17 at Marjory Stoneman Douglas High School in Parkland, Florida.
12.06.2018;Donald Trump meets with North Korean leader Kim Jong-un in Singapore.
13.08.2018;The entire West Virginia Supreme court of Appeals is impeached.
14.03.2018;America was distraught after the death of Stephen Hawking in Cambridge, United Kingdom. He left a legacy in theories of the universe and astrophysics.
06.11.2018;In the 2018 United States elections, the Democrats retake the House while the Republicans keep the Senate.
12.11.2018;Creator of SpongeBob SquarePants Stephen Hillenberg and Creative leader of Marvel Comics Stan Lee both die in November.
26.11.2018;Creator of SpongeBob SquarePants Stephen Hillenberg and Creative leader of Marvel Comics Stan Lee both die in November.
30.11.2018;Former U.S. President George H. W. Bush dies from complications resulting from Parkinson's disease. He lies in the state at the U.S. Capitol building before being interred.
01.01.2019;Washington state bans all persons under 21 years of age from purchasing a semi-automatic rifle
25.01.2019;The longest government shutdown in American History (December 22nd, 2018 -January 25th, 2019), or 35 days, officially ends.
30.01.2019;Large portions of the United States are hit with a polar vortex. The city of Chicago once again hit a record low: 27 degrees below zero. It occurred for fifty-two straight hours.
01.02.2019;President Donald Trump confirms that the U.S. will leave the Intermediate-range Nuclear Forces Treaty.
22.02.2019;Singer R. Kelly charged with ten counts of aggravated criminal sexual abuse for incidents dating back as far as the year 1998.
27.02.2019;2019 North Korea - United States Hanoi Summit held in Vietnam. It is the second summit between U.S. President Donald Trump and North Korean leader Kim Jong-un.
26.03.2019;Vice President Mike Pence orders NASA to fly Americans to the Moon within the next five years, using either government or private carriers.
01.04.2019;"Supreme Court case Bucklew V. Precythe the Supreme Court ruled 5 to 4 that inmates on death row are not guaranteed ""painless executions"" under the Constitution"
04.04.2019;The 1973 War Powers Act Resolution is invoked for the first time when the House of Representatives votes 247�175 to end U.S. military assistance in Saudi Arabia in its intervention in the Yemeni Civil War.
10.04.2019;The first image of a black hole is taken.
22.04.2019;Avengers Endgame is released going on to become the highest-grossing movie of all time.
27.04.2019;A gunman kills one and injures three in a California Synagogue. The suspect is white supremacist John Timothy Earnest, who was 19 years old at the time.
31.05.2019;A city employee for Virginia Beach entered a municipal building with a gun and kills 12 people.
08.06.2019;President Trump reached an agreement with Mexico to avoid tariffs.
09.06.2019;A construction crane fell on an apartment complex in Dallas, killing 1 person and injuring 6.
14.06.2019;One person died and two more were injured after a gunman entered a Costco in Southern California.
26.06.2019;The Supreme Court ruled to give President Trump $2.5 billion to fund his wall. The court ruled in a 5–4 vote.
03.08.2019;23 people are killed and another 23 are injured in a mass shooting at a Walmart in El Paso, Texas.
04.08.2019;A gunman opened fire on a bar in Dayton, Ohio. He killed nine people and injured another 27.
10.08.2019;Financier and convicted sex offender Jeffrey Epstein is found dead in his prison cell under mysterious circumstances. It was declared a suicide by hanging, although the ruling is widely disputed.
12.08.2019;An anonymous whistleblower filed a complaint against Donald Trump and Rudy Giuliani, claiming that the two sought foreign intervention in the 2020 presidential election. This complaint would lead to an investigation into the Trump-Ukraine scandal.
24.09.2019;Speaker of the House Nancy Pelosi announces the House of Representatives would begin an impeachment inquiry against Donald Trump.
18.12.2019;The U.S. House of Representatives impeaches President of Donald J. Trump for high crimes and misdemeanors.
21.01.2020;The first patient in the United States is diagnosed with coronavirus.
26.01.2020;Kobe Bryant, along with his daughter and 7 others, perished in a helicopter crash.
05.02.2020;The majority of the United States Senate voted to acquit Donald Trump of charges related to the Trump-Ukraine scandal.
11.03.2020;Coronavirus declared a global pandemic, leading to a global shut-down.
26.02.2020;6 people are killed in a mass shooting in Milwaukee, Wisconsin, before the perpetrator killed himself.
25.05.2020;George Floyd, an African-American man living in Minneapolis, was killed during an arrest. Subsequently, protests and riots ensued.
02.10.2020;President Donald Trump and First Lady Melania Trump are diagnosed with COVID-19. The former is taken to Walter Reed hospital.
07.11.2020;U.S. presidential election, 2020: Four days after election day, former Vice President Joe Biden is elected the 46th President, defeating Donald Trump. Biden's running mate, Kamala Harris, is elected the 49th Vice President, becoming the first woman and the first African-American to hold that office.
14.12.2020;The first shots of the Pfizer COVID-19 vaccine are given out.